,CGA,PT
Final Avg. Fitness,-0.5454606483545164,-0.41656578220722745
Final Avg. Fitness Std,0.013249637148460712,0.013186143827278502
Final Min. Fitness,-0.7149829288700513,-0.7065508584567106
Final Min. Fitness Std,0.012657458046672955,0.020081792907376057
Total Time Taken,90.62368692398071,178.17943921089173
Time Taken Std,0.9649668849055663,4.149864451181622
Mean Iters to Convergence,7798,9942
Mean Best Solution,"[3.09407835 3.0279689  2.91240778 1.14862511 0.69737764 0.45476204
 0.35923029 0.3551161 ]","[3.11187338 3.03658854 2.78440158 1.29676559 0.57196917 0.43030332
 0.41066418 0.36659751]"
