,CGA,PT
Final Avg. Fitness,-0.011298125956594884,-0.008554006221789893
Final Avg. Fitness Std,0.0790868816961642,0.05987804355252926
Final Min. Fitness,-0.014483647802041175,-0.014146779665446634
Final Min. Fitness Std,0.10138553461428824,0.09902745765812646
Total Time Taken,5.452690310478211,9.324759645462036
Time Taken Std,38.16883217334748,65.27331751823426
Mean Iters to Convergence,2376,7340
Mean Best Solution,"[0.06278896 0.06151707 0.06074711 0.03007297 0.00830421 0.00616985
 0.00771665 0.00688206]","[0.06227382 0.0611881  0.05974755 0.00768636 0.00745933 0.02766911
 0.00735878 0.00722419]"
